Age,Likely Ethnicity,Precinct,Borrud - SD24: Responses,Total People
24 to 34,White,Rochester W2 P5,Undecided,1
25 to 34,White,Rochester W2 P6,Undecided,1
24 to 34,White,Rochester W2 P8,Strong Aleta,1
25 to 34,White,Rochester W2 P9,Strong Aleta,1
24 to 34,White,Rochester W2 P8,Lean Aleta,1
25 to 34,White,Rochester W2 P9,Lean Aleta,1
22 to 34,White,Rochester W2 P6,Undecided,1
23 to 34,White,Rochester W2 P7,Undecided,1
24 to 34,White,Rochester W2 P8,Undecided,1
25 to 34,White,Rochester W2 P9,Undecided,1
25 to 34,White,Rochester W4 P10,Lean Aleta,1
24 to 34,White,Rochester W4 P9,Undecided,1
25 to 34,White,Rochester W4 P10,Undecided,1
25 to 34,White,Rochester W4 P11,Strong Aleta,1
24 to 34,White,Rochester W4 P10,Lean Aleta,1
25 to 34,White,Rochester W4 P11,Lean Aleta,1
24 to 34,White,Rochester W4 P11,Undecided,1
25 to 34,White,Rochester W4 P12,Undecided,1
24 to 34,White,Rochester W4 P7,Lean Aleta,1
25 to 34,White,Rochester W4 P8,Lean Aleta,1
25 to 34,White,Rochester W4 P8,Undecided,1
19 to 34,White,Stewartville,Strong Aleta,1
20 to 34,White,Stewartville,Strong Aleta,1
21 to 34,White,Stewartville,Strong Aleta,1
22 to 34,White,Stewartville,Strong Aleta,1
23 to 34,White,Stewartville,Strong Aleta,1
24 to 34,White,Stewartville,Strong Aleta,1
25 to 34,White,Stewartville,Strong Aleta,1
25 to 34,White,Stewartville,Lean Aleta,1
25 to 34,White,Stewartville,Undecided,1
25 to 34,White,Stewartville,Strong Nelson,1
24 to 34,White,Byron,Lean Aleta,1
25 to 34,White,Byron,Lean Aleta,1
23 to 34,White,Byron,Undecided,1
24 to 34,White,Byron,Undecided,1
25 to 34,White,Byron,Undecided,1
25 to 34,White,Hayfield,Strong Aleta,1
25 to 34,White,Hayfield,Undecided,1
24 to 34,White,Kasson P-1,Strong Aleta,1
25 to 34,White,Kasson P-2,Strong Aleta,1
25 to 34,White,Kasson P-2,Lean Aleta,1
25 to 34,White,Kasson P-2,Undecided,1
25 to 34,White,Kasson P-2,Lean Nelson,1
25 to 34,White,Rochester W1 P10,Strong Aleta,1
25 to 34,White,Rochester W1 P10,Lean Aleta,1
25 to 34,White,Rochester W1 P6,Lean Aleta,1
25 to 34,White,Rochester W1 P6,Strong Nelson,1
25 to 34,White,Rochester W1 P8,Strong Aleta,1
24 to 34,White,Rochester W1 P7,Undecided,1
25 to 34,White,Rochester W1 P8,Undecided,1
25 to 34,White,Rochester W2 P1,Lean Aleta,1
25 to 34,White,Rochester W2 P1,Undecided,1
25 to 34,White,Rochester W2 P10,Strong Aleta,1
25 to 34,White,Rochester W2 P10,Undecided,1
25 to 34,White,Rochester W2 P11,Lean Aleta,1
25 to 34,White,Rochester W2 P2,Lean Aleta,1
24 to 34,White,Rochester W2 P3,Strong Aleta,1
25 to 34,White,Rochester W2 P4,Strong Aleta,1
25 to 34,White,Rochester W2 P4,Lean Aleta,1
25 to 34,White,Rochester W2 P4,Lean Nelson,1
25 to 34,White,Rochester W2 P5,Undecided,1
20 to 34,White,Rochester W2 P1,Undecided,1
21 to 34,White,Rochester W2 P2,Undecided,1
22 to 34,White,Rochester W2 P3,Undecided,1
23 to 34,White,Rochester W2 P4,Undecided,1
24 to 34,White,Rochester W2 P5,Undecided,1
25 to 34,White,Rochester W2 P6,Undecided,1
25 to 34,White,Rochester W2 P9,Lean Aleta,1
25 to 34,White,Rochester W4 P11,Lean Aleta,1
25 to 34,White,Stewartville,Lean Aleta,1
25 to 34,White,Hayfield,Undecided,1
24 to 34,White,Kasson P-1,Strong Aleta,1
25 to 34,White,Kasson P-2,Strong Aleta,1
